Country name,year2008,year2009,year2010,year2011
Afghanistan,2,2,2,2
Albania,9,9,10,10
Algeria,5,5,5,5
American Samoa,,,,
Andorra,,,,
Angola,2,2,2,2
Antigua and Barbuda,,,,
Argentina,10,10,11,11
Armenia,12,11,11,11
Aruba,9,9,10,10
Australia,13,13,13,14
Austria,17,17,18,18
Azerbaijan,7,7,7,6
"Bahamas, The",6,7,7,7
Bahrain,2,2,2,2
Bangladesh,4,5,5,5
Barbados,11,11,11,12
Belarus,14,14,14,13
Belgium,17,17,17,18
Belize,4,4,4,4
Benin,3,3,3,3
Bermuda,,,,
Bhutan,5,5,5,5
Bolivia,5,5,5,5
Bosnia and Herzegovina,14,14,14,14
Botswana,4,4,4,4
Brazil,7,7,7,7
Brunei Darussalam,3,3,4,4
Bulgaria,17,17,18,18
Burkina Faso,2,2,2,2
Burundi,3,3,3,3
Cambodia,4,4,4,4
Cameroon,4,4,4,4
Canada,14,14,14,14
Cape Verde,6,6,6,6
Cayman Islands,,,,
Central African Republic,4,4,4,4
Chad,3,3,3,3
Chile,9,9,9,10
China,8,8,8,8
Colombia,5,5,6,6
Comoros,3,3,3,3
"Congo, Dem. Rep.",3,3,3,3
"Congo, Rep.",4,4,4,4
Costa Rica,6,6,7,7
Cote d'Ivoire,4,4,4,4
Croatia,17,17,17,17
Cuba,12,12,12,13
Curacao,,,,
Cyprus,11,11,12,12
Czech Republic,14,15,15,15
Denmark,16,16,16,17
Djibouti,3,3,3,3
Dominica,,,,
Dominican Republic,6,6,6,6
Ecuador,6,6,6,6
"Egypt, Arab Rep.",5,5,5,5
El Salvador,7,7,7,7
Equatorial Guinea,3,3,3,3
Eritrea,2,2,2,3
Estonia,17,17,17,17
Ethiopia,3,3,3,3
Faeroe Islands,,,,
Fiji,5,5,5,5
Finland,17,17,17,18
France,17,17,17,17
French Polynesia,6,6,6,7
Gabon,4,4,4,4
"Gambia, The",2,2,2,2
Georgia,15,14,14,14
Germany,20,20,20,21
Ghana,4,4,4,4
Greece,18,18,19,19
Greenland,,,,
Grenada,7,7,7,7
Guam,7,7,7,7
Guatemala,4,4,4,4
Guinea,3,3,3,3
Guinea-Bissau,3,3,3,3
Guyana,4,4,4,4
Haiti,4,4,4,4
Honduras,4,4,4,4
"Hong Kong SAR, China",12,13,13,13
Hungary,16,16,17,17
Iceland,12,12,12,12
India,5,5,5,5
Indonesia,5,5,6,6
"Iran, Islamic Rep.",5,5,5,5
Iraq,3,3,3,3
Ireland,11,11,12,12
Isle of Man,,,,
Israel,10,10,10,11
Italy,20,20,20,21
Jamaica,8,8,8,8
Japan,21,22,23,23
Jordan,4,4,4,4
Kazakhstan,7,7,7,7
Kenya,3,3,3,3
Kiribati,,,,
"Korea, Dem. Rep.",9,9,10,10
"Korea, Rep.",10,11,11,12
Kosovo,,,7,
Kuwait,3,3,3,2
Kyrgyz Republic,5,5,4,4
Lao PDR,4,4,4,4
Latvia,18,18,18,18
Lebanon,7,7,7,7
Lesotho,4,4,4,4
Liberia,3,3,3,3
Libya,4,4,4,4
Liechtenstein,,,,
Lithuania,16,16,16,16
Luxembourg,14,14,14,14
"Macao SAR, China",7,7,7,7
"Macedonia, FYR",12,12,12,12
Madagascar,3,3,3,3
Malawi,3,3,3,3
Malaysia,5,5,5,5
Maldives,5,5,5,5
Mali,2,2,2,2
Malta,14,14,14,15
Marshall Islands,,,,
Mauritania,3,3,3,3
Mauritius,6,7,7,7
Mexico,6,6,6,6
"Micronesia, Fed. Sts.",4,4,4,4
Moldova,11,11,11,11
Monaco,,,,
Mongolia,4,4,4,4
Montenegro,13,12,12,13
Morocco,5,5,5,6
Mozambique,3,3,3,3
Myanmar,5,5,5,5
Namibia,4,4,4,4
Nepal,4,4,4,4
Netherlands,15,15,15,16
New Caledonia,8,8,8,8
New Zealand,13,13,13,13
Nicaragua,4,5,5,5
Niger,2,2,2,2
Nigeria,3,3,3,3
Northern Mariana Islands,,,,
Norway,14,15,15,15
Oman,3,3,3,3
Pakistan,4,4,4,4
Palau,,,,
Panama,6,6,7,7
Papua New Guinea,3,3,3,3
Paraguay,5,5,5,5
Peru,6,6,6,6
Philippines,4,4,4,4
Poland,13,13,14,14
Portugal,18,18,18,18
Puerto Rico,12,13,13,13
Qatar,1,1,1,1
Romania,15,15,15,15
Russian Federation,13,13,13,13
Rwanda,3,3,3,3
Samoa,5,5,5,5
San Marino,,,,
Sao Tome and Principe,4,4,4,4
Saudi Arabia,3,3,3,3
Senegal,2,2,2,2
Serbia,15,14,14,14
Seychelles,,,,
Sierra Leone,2,2,2,2
Singapore,9,9,9,9
Sint Maarten (Dutch part),,,,
Slovak Republic,12,12,12,12
Slovenia,16,16,16,17
Solomon Islands,3,3,3,3
Somalia,3,3,3,3
South Africa,4,5,5,5
South Sudan,,,,
Spain,17,17,17,17
Sri Lanka,8,8,8,8
St. Kitts and Nevis,,,,
St. Lucia,7,7,7,7
St. Martin (French part),,,,
St. Vincent and the Grenadines,7,7,7,7
Sudan,3,4,4,4
Suriname,6,6,6,7
Swaziland,3,3,3,3
Sweden,18,18,18,19
Switzerland,16,16,17,17
Syrian Arab Republic,4,4,4,4
Tajikistan,4,4,3,3
Tanzania,3,3,3,3
Thailand,9,9,9,9
Timor-Leste,3,3,3,3
Togo,3,3,3,3
Tonga,6,6,6,6
Trinidad and Tobago,7,7,7,7
Tunisia,7,7,7,7
Turkey,6,6,6,6
Turkmenistan,4,4,4,4
Turks and Caicos Islands,,,,
Tuvalu,,,,
Uganda,3,3,3,3
Ukraine,16,16,15,15
United Arab Emirates,1,,,
United Kingdom,16,16,17,17
United States,13,13,13,13
Uruguay,14,14,14,14
Uzbekistan,5,4,4,4
Vanuatu,3,3,3,4
"Venezuela, RB",5,5,6,6
Vietnam,6,6,6,6
Virgin Islands (U.S.),13,14,14,15
West Bank and Gaza,3,3,3,3
"Yemen, Rep.",3,3,3,3
Zambia,3,3,3,3
Zimbabwe,4,4,4,4
