Salinity,Lagged.Salinity,Trend,Waterflow
7.6,8.2,4,23.005
7.7,7.6,5,23.873
4.3,4.6,0,26.417
5.9,4.3,1,24.868
5,5.9,2,29.895
6.5,5,3,24.2
8.3,6.5,4,23.215
8.2,8.3,5,21.862
13.2,10.1,0,22.274
12.6,13.2,1,23.83
10.4,12.6,2,25.144
10.8,10.4,3,22.43
13.1,10.8,4,21.785
12.3,13.1,5,22.38
10.4,13.1,0,23.927
10.5,10.4,1,33.443
7.7,10.5,2,24.859
9.5,7.7,3,22.686
12,10,0,21.789
12.6,12,1,22.041
13.6,12.1,4,21.033
14.1,13.6,5,21.005
13.5,15,0,25.865
11.5,13.5,1,26.29
12,11.5,2,22.932
13,12,3,21.313
14.1,13,4,20.769
15.1,14.1,5,21.393
