Gender,SATScore,IDNumber
Male,1170,61469897
Female,1090,33081197
Male,1240,68137597
Female,1000,37070397
Male,1210,64608797
Female,970,60714297
Male,1020,16907997
Female,1490,9589297
Male,1200,93891897
Female,1260,85859397
Male,1150,38152597
Female,1390,99108497
Male,1240,59666697
Female,1370,70847197
Male,1140,47613397
Female,1160,53750297
Male,1050,95948597
Female,1110,3873197
Male,1100,25756097
Female,1080,43493297
Male,1120,27543197
Female,1080,26212897
Male,1050,8945097
Female,1200,51799397
Male,1600,39196697
Female,1100,48154497
Male,1050,55189597
Female,1060,46028397
Male,1140,75332897
Female,1100,29520797
Male,1340,55983497
Female,1240,93236497
Male,1090,6975697
Female,1180,29686297
Male,1170,76815697
Female,1130,64045497
Male,1290,9880297
Female,1380,23048597
Male,1010,76058697
Female,1280,42586897
Male,1050,62688897
Female,1520,73461797
Male,1360,44327297
Female,1260,2854197
Male,1290,42401697
Female,1070,51266697
Male,1260,61195297
Female,1350,71681397
Male,1140,43230697
Female,1330,6520097
Male,990,61728297
Female,1300,64179097
Male,1150,20494697
Female,1520,40177297
Male,1200,43183797
Female,1120,47146397
Male,1020,60633297
Female,1250,72168497
Male,1330,98377897
Female,1170,20745097
Male,1110,91775997
Female,1230,82634897
Male,1310,73772397
Female,1270,20755897
Male,1210,57288097
Female,1120,55860697
Male,1200,65246997
Female,1380,81994397
Male,890,76526697
Female,1590,23573597
Male,1110,61160997
Female,1150,23359697
Male,1280,19108097
Female,910,30834797
Male,1060,46806897
Female,1270,62919297
Male,1020,37534197
Female,1300,4440297
Male,1050,2012997
Female,1060,59149297
