"sDel","sNoDel","cat","follows","class"
38,120,"m","C",1
0,6,"v","C",1
18,90,"d","C",1
7,44,"a","C",1
34,40,"n","C",1
30,42,"m","V",1
0,5,"v","V",1
2,23,"d","V",1
5,8,"a","V",1
20,1,"n","V",1
7,12,"m","P",1
0,8,"a","P",1
4,15,"n","P",1
377,349,"m","C",2
10,21,"v","C",2
160,218,"d","C",2
66,60,"a","C",2
232,129,"n","C",2
233,120,"m","V",2
8,24,"v","V",2
24,32,"d","V",2
15,9,"a","V",2
141,7,"n","V",2
98,27,"m","P",2
12,3,"a","P",2
138,34,"n","P",2
358,345,"m","C",3
9,6,"v","C",3
120,173,"d","C",3
45,81,"a","C",3
183,143,"n","C",3
215,123,"m","V",3
3,2,"v","V",3
30,27,"d","V",3
15,6,"a","V",3
80,56,"n","V",3
145,48,"m","P",3
12,9,"a","P",3
105,46,"n","P",3
582,547,"m","C",4
4,9,"v","C",4
226,197,"d","C",4
87,76,"a","C",4
284,106,"n","C",4
252,112,"m","V",4
5,4,"v","V",4
24,29,"d","V",4
10,5,"a","V",4
135,60,"n","V",4
221,59,"m","P",4
24,2,"a","P",4
238,37,"n","P",4
