City Smoker Cancer Count
Beijing Yes Yes 126
Beijing Yes No 100
Beijing No Yes 35
Beijing No No 61
Shanghai Yes Yes 908
Shanghai Yes No 688
Shanghai No Yes 497
Shanghai No No 807
Shenyang Yes Yes 913
Shenyang Yes No 747
Shenyang No Yes 336
Shenyang No No 598
Nanjing Yes Yes 235
Nanjing Yes No 172
Nanjing No Yes 58
Nanjing No No 121
Harbin Yes Yes 402
Harbin Yes No 308
Harbin No Yes 121
Harbin No No 215
Zhengzhou Yes Yes 182
Zhengzhou Yes No 156
Zhengzhou No Yes 72
Zhengzhou No No 98
Taiyuan Yes Yes 60
Taiyuan Yes No 99
Taiyuan No Yes 11
Taiyuan No No 43
Nanchang Yes Yes 104
Nanchang Yes No 89
Nanchang No Yes 21
Nanchang No No 36
