x y z
5.05 9.66  a 
4.57 8.34  a 
5.2  10.32 a 
4.19 7.93  a 
5.41 7.61  a 
5.8  9.54  a 
5.97 9.3   a 
5.64 9.24  a 
4.49 7.08  a 
3.34 8.18  a 
3.02 7.09  a 
5.64 9.06  a 
5.17 7.76  a 
5.31 6.92  a 
3.86 6.69  a 
5.18 10.24 a 
4.87 7.32  a 
4.34 9.07  a 
5.96 9.28  a 
5.2  7.72  a 
4.85 6.81  a 
3.44 7.5   a 
4.17 8.08  a 
4.64 8.58  a 
3.63 7.7   a 
3.37 5.02  a 
5.11 8.46  a 
5.98 9.16  a 
6.72 10.5  a 
4.11 9.1   a 
4.88 9.51  a 
3.16 7.6   a 
5.31 9.37  a 
5.44 9.72  a 
4.24 7.6   a 
5.49 7.94  a 
5.35 10.42 a 
5.12 8.45  a 
4.83 7.55  a 
6.8  11.56 a 
4.88 8.28  a 
3.93 5.6   a 
5.64 10    a 
4.26 7.83  a 
5.13 9.94  a 
4.28 7.33  a 
3.86 8.42  a 
5.46 7.58  a 
5.59 10.02 a 
4.77 10.71 a 
4.23 7.04  a 
4.1  8.81  a 
5.63 7.63  a 
5.4  7.35  a 
6.93 12.24 a 
5.32 9.9   a 
4.85 7.16  a 
4.61 11    a 
4.13 9.15  a 
4.89 10.27 a 
4.54 8.62  a 
4.42 9.24  a 
3.62 6.83  a 
5.14 8.51  a 
5.55 9.36  a 
4.92 8.38  a 
5.56 11.04 a 
8.08 10.71 a 
5.2  8.24  a 
5.88 10.12 a 
5.12 9.92  a 
4.02 9.1   a 
4.41 9.25  a 
4.27 8.65  a 
3.82 9.23  a 
5.77 11.06 a 
5.16 9.83  a 
6.96 11.01 a 
4.77 10.57 a 
3.97 7.71  a 
4.22 8.32  a 
5.32 9.67  a 
4.69 8.59  a 
5.33 9.56  a 
6.41 11.75 a 
4.12 7.39  a 
5.03 8.64  a 
4.31 8.12  a 
4.22 9.18  a 
4.99 10.18 a 
4.2  9.98  a 
4.71 8.87  a 
5.11 9.3   a 
5.61 11.14 a 
5.53 9.26  a 
5.11 9.04  a 
5.21 8.8   a 
6.63 9.86  a 
5.49 10.95 a 
4.4  7.48  a 
5.1  9.57  a 
5.04 9.46  a 
3.09 6.73  a 
4.14 6.64  a 
4.84 8.26  a 
6.17 9.72  a 
5.45 9.34  a 
7.08 9.09  a 
3.49 7.3   a 
4.14 7.71  a 
4.96 7.16  a 
5    8.44  a 
5.68 10.88 a 
5.32 7.78  a 
4.7  9.18  a 
6.58 10.79 a 
4.38 9.09  a 
5.01 10.28 a 
4.43 7.76  a 
5.2  7.66  a 
4.7  9.52  a 
6.38 11.04 a 
5.97 8.97  a 
3.6  6.83  a 
2.45 8.14  a 
6.24 10.95 a 
5.47 8.73  a 
4.36 8.84  a 
5.31 10.75 a 
5.44 8.93  a 
2.72 7.52  a 
3.64 6.83  a 
6.12 9.71  a 
6.28 9.81  a 
4.7  9.93  a 
5.53 8.4   a 
4.73 10.1  a 
4.79 9.87  a 
3.86 7.22  a 
4.11 6.52  a 
7.2  11.39 a 
5.58 9.51  a 
5.66 8.54  a 
6.12 9.75  a 
4.5  10.2  a 
6.89 9.73  a 
4.93 8.06  a 
5.24 9.55  a 
5.18 8.87  a 
5.01 8.87  a 
5.19 2.67  b 
5.57 1.79  b 
5.27 2.47  b 
4.24 2.65  b 
4.28 2.55  b 
6.64 1.12  b 
4.75 1.75  b 
4.75 0.96  b 
5.25 0.66  b 
6.34 2.36  b 
6.15 0.22  b 
5.12 1.18  b 
4.17 3.48  b 
5.26 2.29  b 
3.84 2.79  b 
5.52 2.49  b 
5.35 1.34  b 
7.01 0.45  b 
7.04 -0.9  b 
5.01 2.66  b 
