"method","variety","replication","tubers","weight"
"hydroponic","Yungay","1",178,1193.4
"hydroponic","Yungay","2",226,1275.2
"hydroponic","Yungay","3",147,990.8
"hydroponic","Yungay","4",234,1157.6
"hydroponic","Perricholi","1",310,1293
"hydroponic","Perricholi","2",180,954.8
"hydroponic","Perricholi","3",175,1134.7
"hydroponic","Perricholi","4",202,1320.9
"hydroponic","Canchan","1",135,1250.1
"hydroponic","Canchan","2",133,1103.6
"hydroponic","Canchan","3",108,997.6
"hydroponic","Canchan","4",107,951.1
"hydroponic","Tomasa","1",193,679.8
"hydroponic","Tomasa","2",207,901.1
"hydroponic","Tomasa","3",180,972.8
"hydroponic","Tomasa","4",229,1245.4
"bed","Yungay","1",59,977.2
"bed","Yungay","2",66,968.2
"bed","Yungay","3",71,791.1
"bed","Yungay","4",69,821.1
"bed","Perricholi","1",62,632
"bed","Perricholi","2",79,560.1
"bed","Perricholi","3",84,640.5
"bed","Perricholi","4",64,542
"bed","Canchan","1",100,889.9
"bed","Canchan","2",70,478.1
"bed","Canchan","3",85,662.8
"bed","Canchan","4",87,582.1
"bed","Tomasa","1",60,689.8
"bed","Tomasa","2",43,529.9
"bed","Tomasa","3",40,515.6
"bed","Tomasa","4",53,566.4
"pot","Yungay","1",69,484.2
"pot","Yungay","2",35,284
"pot","Yungay","3",65,348.6
"pot","Yungay","4",44,426.5
"pot","Perricholi","1",98,374.8
"pot","Perricholi","2",110,491.7
"pot","Perricholi","3",102,605.3
"pot","Perricholi","4",93,485.7
"pot","Canchan","1",107,624.8
"pot","Canchan","2",117,656.8
"pot","Canchan","3",104,687.8
"pot","Canchan","4",87,595.5
"pot","Tomasa","1",41,406.5
"pot","Tomasa","2",37,384.1
"pot","Tomasa","3",52,488.9
"pot","Tomasa","4",48,445.2
