no;sex;high;weight;father;mother
1;男;165;100;163;155
2;男;180;155;158;162
3;女;170;115;175;158
4;男;181;152;178;176
5;女;153;72;178;160
6;女;160;90;176;156
7;男;170;128;171;155
8;女;170;49;165;160
9;男;170;70;175;163
10;男;172;125;168;168
11;男;173;58;172;165
12;男;165;108;167;156
13;男;172;130;175;165
14;男;174;120;170;158
15;女;169;97;176;161
16;男;165;108;167;156
17;女;165;56;178;155
18;女;164;120;170;164
19;男;172;125;168;168
20;男;175;125;166;158
21;男;178;125;173;160
22;女;163;102;176;163
23;女;166;105;176;160
24;女;156;45;156;15
25;女;172;57;183;162
26;男;182;175;174;165
27;男;175;74;172;158
28;男;181;65;170;160
29;女;157;91;173;165
30;男;193;145;170;169
31;男;172;126;173;168
32;女;167;55;163;163
33;男;181;80;173;168
34;男;179;63;178;155
35;男;175;65;171;155
36;男;173;116;160;160
37;女;170;55;172;163
38;女;170;55;172;163
39;女;169;114;178;168
40;女;159;88;168;150
41;女;158;90;171;155
42;女;160;50;164;156
43;女;158;40;170;152
44;女;168;49;170;165
45;男;175;121;170;160
46;男;175;130;168;165
47;男;178;125;176;162
48;女;168;47;182;158
49;女;166;48;175;160
50;男;158;98;177;161
51;女;158;98;177;161
52;女;165;110;170;160
53;女;165;105;178;158
54;女;158;103;165;152
55;男;165;84;165;158
56;女;159;48;168;152
57;男;177;160;171;163
58;男;175;55;175;165
59;男;176;110;165;155
60;女;160;96;170;165
61;女;156;100;170;153
62;男;185;65;180;165
63;男;;;;
64;女;153;102;177;156
65;男;180;110;162;165
66;男;177;110;168;156
67;女;156;45;156;158
68;女;163;48;172;155
69;男;177;80;183;158
70;男;172;120;;
71;男;177;135;176;158
72;女;158;94;176;160
73;男;173;150;172;161
74;男;177;145;177;167
75;男;171;156;168;160
76;男;165;60;170;155
77;女;163;130;170;165
78;男;178;162;173;159
79;女;162;98;163;156
80;女;167;55;163;163
81;女;160;55;178;165
82;男;172;125;168;165
83;男;172;135;175;158
84;女;163;52;173;155
85;男;111;111;111;111
86;女;160;47;172;158
87;男;1122222222222222222222222222222222222;233333333333333333333333333333;44444444444444444444444444444444;555555555555555555555555555555555
88;男;180;130;177;167
89;男;181;140;178;160
90;男;11111111111111111;222222222222222222222;333333333;4444444444
91;女;156;90;156;158
92;女;167;110;163;163
93;女;158;110;177;162
94;男;178;56;170;165
95;女;167;102;170;160
96;男;178;125;173;160
97;女;170;110;172;160
98;男;170;140;175;163
99;女;160;82;170;164
100;女;162;100;172;154
101;女;170;110;172;160
102;男;170;61;164;148
103;女;164;44;174;163
104;女;166;120;170;164
105;女;164;97;180;169
106;女;158;98;175;155
107;男;178;143;168;165
108;男;176;60;176;163
109;女;163;94;169;159
110;女;163;98;171;150
111;女;157.5;88;176;160
112;男;170;125;165;158
113;女;163;102;174;158
114;女;163;95;170;155
115;男;171;130;164;158
116;女;161;96;163;161
117;男;175;150;180;160
118;女;157;48;168;148
119;女;162;120;172;160
120;女;155;80;170;160
121;男;164;115;172;165
122;男;182;130;175;160
123;女;160;92;171;163
124;女;164;118;164;163
125;女;160;48;168;160
126;女;157;48;170;155
127;男;179;200;162;163
128;男;168;55;165;158
129;男;180;150;173;168
130;男;176;63;165;163
131;男;175;110;175;165
132;男;173;128;170;160
133;男;176;55;172;164
134;男;189;162;182;163
135;女;168;110;174;163
136;女;162;98;160;159
137;男;176;110;165;155
138;女;160;110;177;164
139;男;175;63;170;165
140;男;185;114;175;169
141;男;176;110;172;163
142;男;169;121;170;162
143;男;175;138;175;162
144;男;172;55;168;154
145;女;161;96;175;160
146;女;161;110;173;158
147;男;175;142;163;158
148;女;172;104;176;155
149;男;176;122;165;164
150;女;164;54;180;158
151;男;163;90;160;155
152;女;172;111;173;168
153;女;163;54;166;165
154;男;186;130;172;168
155;男;186;130;172;168
156;女;159;92;168;158
157;男;180;127;180;160
158;男;183;128;180;182
159;女;157;96;170;155
160;女;160;100;164;156
161;女;160;99;170;160
162;男;172;66;170;160
163;女;160;95;173;158
164;男;;170;180;158
165;男;170;120;165;148
166;男;171;108;170;160
167;男;169;120;165;162
168;女;168;121;174;171
169;男;176;123;175;165
170;男;181;136;174;163
171;女;153;94;168;150
172;男;193;145;170;169
173;女;162;115;175;155
174;女;164;86;165;158
175;女;163;94;170;172
176;女;160;53;170;165
177;女;162;45;165;158
178;女;160;94;172;158
179;女;158;53;164;158
180;男;172;130;175;165
181;女;168;63;182;166
182;女;172;110;175;168
183;男;172;146;185;160
184;女;158;91;173;157
185;男;185;128;180;165
186;女;171;106;178;168
187;女;168;49;171;159
188;女;159;93;168;158
189;女;172;110;175;168
190;男;180;126;172;159
191;男;175;126;170;165
192;男;177;140;171;159
193;女;160;96;168;160
194;女;165;112;178;155
195;男;179;165;163;158
