day.count;day;month;season;l.temp;h.temp;ave.temp;l.temp.time;h.temp.time;rain;ave.wind;gust.wind;gust.wind.time;dir.wind
1;1;1;Winter;12.7;14;13.4;01:25;23:50;32;11.4;53.1;15:45;S
2;2;1;Winter;11.3;14.7;13.5;07:30;11:15;64.8;5.6;41.8;22:25;S
3;3;1;Winter;12.6;14.7;13.6;21:00;14:00;12.7;4.3;38.6;00:00;SSW
4;4;1;Winter;7.7;13.9;11.3;10:35;01:50;20.1;10.3;66;09:05;SW
5;5;1;Winter;8.8;14.6;13;01:40;12:55;9.4;11.6;51.5;13:50;SSE
6;6;1;Winter;11.8;14.4;13.1;19:35;00:05;38.9;9.9;57.9;08:10;SSE
7;7;1;Winter;11.4;14.8;13.5;07:25;14:30;2;6.6;38.6;11:45;SE
8;8;1;Winter;12.4;15.6;14.1;23:50;13:25;1.5;5.9;33.8;14:00;SE
9;9;1;Winter;9.2;18.4;12.9;07:10;14:05;0;0.2;16.1;14:25;N
10;10;1;Winter;8.3;14.8;11;07:55;12:20;0;1.4;24.1;14:20;NNW
11;11;1;Winter;5.8;14.8;9.5;06:30;15:50;0.3;1.1;16.1;21:40;NE
12;12;1;Winter;9.4;15.2;12.1;00:10;08:35;10.7;4.7;41.8;08:35;SSE
13;13;1;Winter;7.3;12.9;10.2;07:45;12:05;15.7;3.1;35.4;13:00;WNW
14;14;1;Winter;11.4;13.9;12.8;00:55;13:00;8.1;4.7;38.6;06:30;WNW
15;15;1;Winter;9.4;13.1;12;22:25;14:05;29;5.9;43.5;19:25;SSW
16;16;1;Winter;9;12.2;10.8;09:20;13:35;6.9;5.4;49.9;09:00;SW
17;17;1;Winter;7.7;11.4;9.3;09:25;13:40;25.4;7.2;41.8;11:45;SE
18;18;1;Winter;7.5;10.9;9;07:20;15:40;17;1.4;24.1;15:00;NNW
19;19;1;Winter;6.4;11.4;8.7;08:25;14:00;2.5;3.3;32.2;14:15;NW
20;20;1;Winter;6.9;12.2;9.2;01:00;13:15;2.8;1.1;17.7;13:50;N
21;21;1;Winter;9;13.2;11;00:25;16:05;7.4;5;32.2;14:50;SE
22;22;1;Winter;7.9;12.7;11;23:50;13:55;1.8;5.9;48.3;15:20;NW
23;23;1;Winter;5.9;13.2;9.5;03:30;15:10;0;2;22.5;15:10;N
24;24;1;Winter;6.1;11.7;9.4;04:30;15:00;0.3;1;16.1;15:40;NNW
25;25;1;Winter;10.8;14.2;12.4;04:15;15:30;1.8;2.9;24.1;13:30;NNW
26;26;1;Winter;11.1;13.2;11.9;05:45;22:10;6.9;3.4;33.8;23:15;NW
27;27;1;Winter;9.1;11.6;10.3;08:35;11:15;5.1;7;53.1;14:50;NW
28;28;1;Winter;8.6;13.3;10.6;23:40;13:05;20.6;8;57.9;23:15;WSW
29;29;1;Winter;6.3;11.9;8.9;07:15;14:20;7.4;5.6;46.7;15:15;NW
30;30;1;Winter;4.9;12.1;8.6;06:10;15:10;9.9;3.2;35.4;23:40;NW
31;31;1;Winter;11.2;12.8;12.1;01:20;23:20;11.9;2.8;33.8;00:00;SSW
32;1;2;Winter;5.8;12.8;9.3;23:25;00:20;19;6.3;51.5;11:00;NW
33;2;2;Winter;5.4;11.3;8.3;02:25;15:10;4.6;5;49.9;22:55;SE
34;3;2;Winter;6.8;11.5;8.9;23:25;12:10;50.5;6.8;61.2;05:50;SSW
35;4;2;Winter;6.5;12.9;10.3;00:50;18:25;57.4;10.3;66;15:35;S
36;5;2;Winter;9.8;12.5;11.6;08:40;23:10;3.8;8.8;41.8;01:50;SSW
37;6;2;Winter;9.3;15.3;12.5;21:30;09:45;43.4;16.6;74;10:20;SSW
38;7;2;Winter;9.1;13;11.3;02:25;12:05;20.3;9.3;62.8;22:25;SSW
39;8;2;Winter;7.8;12.9;10.7;23:10;03:05;34.8;8.1;62.8;02:50;W
40;9;2;Winter;7;14.4;9.9;01:20;15:00;43.2;13;86.9;22:40;SSE
41;10;2;Winter;5.5;10.7;8.8;02:00;23:55;17;11.1;69.2;01:55;NW
42;11;2;Winter;7.4;13.2;10.4;23:10;15:45;30.5;7.9;49.9;05:05;NW
